Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;24/2/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Canada;CAN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.361;0.57;0.916;1.18;2.38;4.16;6.76;15.1;24.9;36.2;51.3;60.2;615.933;64.2;65.956;71.66;72.4;73.2;76.7;80.3;80.3;83;83;85.8;87.12;90;91.16;927.014;94.64;919.129;92.3;939.371;94;939.564;;;;
Central Europe and the Baltics;CEB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland;CHE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.596;1.18;1.75;2.17;2.72;3.55;4.55;15.1;24.8;34;47.1;55.1;61.4;65.1;67.8;70.1;75.7;77.2;79.2;81.3;83.9;85.193;85.2;86.34;836.173;874.791;891.347;896.861;91.8;931.461;943.499;955.694;964.528;973.444;;;;
Channel Islands;CHI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.0365;0.0718;0.141;0.347;0.683;1.06;1.66;4.1;16.6;19.1;22.1;254.738;281.779;311.753;344.978;35.9;37.3;41.56;45;522.496;55.05;58;61.11;766.296;835.586;823.275;84.9;850.176;874.593;902.328;935.377;944.574;;;;
China;CHN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.000169;0.00117;0.00495;0.0131;0.0324;0.169;0.708;177.591;263.965;45.957;6.2;7.3;852.326;105.232;16;22.6;28.9;34.3;38.3;423.001;45.8;47.9;50.3;53.2;54.3;59.2;640.809;700.528;730.532;756.113;90.6;92;;;
Cote d'Ivoire;CIV;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0002;0.00841;0.0188;0.061;0.119;0.231462;0.395748;0.497929;0.75867;0.849282;103.924;15.249;1.8;1.9;2;2.7;2.9;4.4;6.6;10;38.44;412.078;438.399;375.465;36.289;360.166;359.507;384.133;406.528;;;;
Cameroon;CMR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.00677;0.0132;0.129;0.25212;0.277051;0.360872;0.587623;0.976075;140.265;202.874;2.93;3.4;3.84;4.3;5;7.5;10;162.149;18.3;20.6;23.203;29.7;365.392;412.264;420.405;41.775;419.088;;;;
Congo; Dem. Rep.;COD;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.000108;0.000211;0.000413;0.00101;0.00590211;0.0114758;0.0927907;0.134915;0.196208;0.238038;0.296054;0.37;0.44;0.56;0.72;1.2;167.996;2.2;3;3.8;10.1;86.199;11.7;164.812;216.422;284.193;294.996;30.548;;;
Congo; Rep.;COG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.00353;0.00347;0.00342;0.0168;0.0263547;0.0322236;0.15725;0.460014;10.775;146.342;200.799;27.597;428.751;4.5;5;5.6;61.067;6.6;7.11;761.597;812.195;8.65;;;248.206;333.461;374.939;383.791;;;
